signal,scheme,bin_lo,bin_hi,metric,group,n_windows,n_models,median,q25,q75,file_mean,file_sd
Dual_Phase_Modulation,rel_mae,0.2,inf,freq,Global attention,56884,1,0.09115119219809098,0.02461028368170734,0.231119623163973,0.15401397347164283,0.10977557728961394
Dual_Phase_Modulation,rel_mae,0.2,inf,freq,Decomposition,227603,4,0.08015458373084294,0.013043832124590815,0.21255772145901175,0.1719628787935356,0.15810195212003383
Dual_Phase_Modulation,rel_mae,0.2,inf,freq,Linear and MLP,170880,3,0.04372126499515194,0.007261594812583205,0.13742533683514663,0.11082784810667706,0.12772368954932492
Dual_Phase_Modulation,abs_mae_0_0.03,0.0,0.03,phase,Local receptive field,186832,4,6.3583110929330005,4.310340341347759,9.513386966534338,9.072337288409415,4.414625521875567
Dual_Phase_Modulation,abs_mae_0_0.03,0.0,0.03,phase,Global attention,1470,1,84.43812145780014,51.136516020040375,96.91834680217792,73.31009167315693,29.39316850574794
Dual_Phase_Modulation,abs_mae_0_0.03,0.0,0.03,phase,Decomposition,6563,4,82.7159071184143,60.24958974448117,100.67088584439074,76.21628489569584,19.92688541469052
Dual_Phase_Modulation,abs_mae_0_0.03,0.0,0.03,phase,Linear and MLP,5766,3,64.63171102803297,34.28032040846471,92.8514556801786,55.915934041370384,26.55746067976265
Dual_Phase_Modulation,abs_mae_0_0.03,0.0,0.03,freq,Local receptive field,186832,4,0.0007231564152192504,0.00016717919177658414,0.004857017442738865,0.020751880617767643,0.03620601693973875
Dual_Phase_Modulation,abs_mae_0_0.03,0.0,0.03,freq,Global attention,1450,1,0.19766273731311396,0.01952172934435606,0.2944724457710389,0.28312580043067953,0.2641552049360791
Dual_Phase_Modulation,abs_mae_0_0.03,0.0,0.03,freq,Decomposition,6348,4,0.1017135535334715,0.021458255511106333,0.2399440675030012,0.16748187237938683,0.1362857940955236
Dual_Phase_Modulation,abs_mae_0_0.03,0.0,0.03,freq,Linear and MLP,5766,3,0.06312706571407445,0.007706523130682985,0.1743636260443383,0.06876495775152719,0.06420746214877317
ALL,rel_mae,0.0,0.05,phase,Local receptive field,87609,3,1.048152372122262,0.8061402673622967,1.3367077516289243,1.1454980739784923,0.41139126633498785
ALL,rel_mae,0.0,0.05,phase,Global attention,14894,1,1.5759382598163438,1.295461690027979,2.004459034732836,1.7193961503786332,0.23503056183465457
ALL,rel_mae,0.0,0.05,phase,Decomposition,47601,1,0.3908785484153986,0.27942961503842806,0.549715454627549,0.45171688484569844,0.07457492787264197
ALL,rel_mae,0.0,0.05,phase,Linear and MLP,81196,2,0.15859319196265373,0.06578031608318899,0.7807185482324981,0.7084317675759781,0.5870857453119457
ALL,rel_mae,0.0,0.05,freq,Local receptive field,87609,3,8.81763008856451e-05,1.724334765529356e-05,0.00045425284925071363,0.0004422271699747058,0.0005393872444358923
ALL,rel_mae,0.0,0.05,freq,Global attention,14894,1,0.0001250873395508001,1.3843401438062841e-05,0.0005968418864668867,0.0007684606036290811,0.0014855202012825665
ALL,rel_mae,0.0,0.05,freq,Decomposition,47601,1,6.476448456504968e-05,1.394995067161009e-05,0.00025350594802697746,0.00024394043097304813,0.000298057269957566
ALL,rel_mae,0.0,0.05,freq,Linear and MLP,81196,2,2.429313095692054e-05,4.097422867443967e-06,0.00011649870293575781,0.0002559271340372187,0.0004342227169183972
ALL,rel_mae,0.05,0.1,phase,Local receptive field,138982,4,3.1810109396816326,2.2701535552100234,4.010438642427765,3.2402958030972204,0.8195498581995961
ALL,rel_mae,0.05,0.1,phase,Global attention,16543,1,2.6429791377803453,1.9042209424827536,3.3608095163457197,2.7060697390591435,0.6166899652319727
ALL,rel_mae,0.05,0.1,phase,Decomposition,2028,1,1.3805328402048764,0.9564700508709106,2.072045860086613,1.592189952738158,0.6835655212932663
ALL,rel_mae,0.05,0.1,phase,Linear and MLP,30700,2,3.1561621393844197,2.4418293364340924,3.8947583256050384,3.158160548483245,0.614488273906008
ALL,rel_mae,0.05,0.1,freq,Local receptive field,138982,4,0.00028074911772341116,7.340832399674313e-05,0.001008710175916916,0.003129848998251541,0.005897686470486025
ALL,rel_mae,0.05,0.1,freq,Global attention,16543,1,0.00015055108263895,1.461468841573721e-05,0.0007888014521524322,0.0009109324681249957,0.001669857356947945
ALL,rel_mae,0.05,0.1,freq,Decomposition,2028,1,0.00024023633754888252,6.66665776349884e-05,0.0011586525223099275,0.0010837843460647992,0.0014768565903803144
ALL,rel_mae,0.05,0.1,freq,Linear and MLP,30700,2,0.00019115433563055007,6.442866112321699e-05,0.0006068411582511035,0.0010385361774925411,0.0015249170424457559
ALL,rel_mae,0.1,0.2,phase,Local receptive field,216911,4,5.8448527672999155,4.037627052298989,7.999187018245953,5.646924181130261,2.043607208158521
ALL,rel_mae,0.1,0.2,phase,Global attention,10469,1,3.3015106625264066,2.089785499363946,5.028451617980014,3.5118623775850404,1.1582087158910241
ALL,rel_mae,0.1,0.2,phase,Decomposition,13552,2,6.8325449208663045,5.72549413140426,7.90866603841478,6.129711946922536,3.078108587054346
