idx	model	paradigm	condition	signal	seed	out
92	Linear	tier2_eeg		EEG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/Linear/seed2023/pred.npy
93	DLinear	tier2_eeg		EEG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/DLinear/seed2021/pred.npy
94	DLinear	tier2_eeg		EEG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/DLinear/seed2022/pred.npy
95	DLinear	tier2_eeg		EEG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/DLinear/seed2023/pred.npy
96	FITS	tier2_eeg		EEG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/FITS/seed2021/pred.npy
97	FITS	tier2_eeg		EEG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/FITS/seed2022/pred.npy
98	FITS	tier2_eeg		EEG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/FITS/seed2023/pred.npy
99	MLinear	tier2_eeg		EEG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/MLinear/seed2021/pred.npy
100	MLinear	tier2_eeg		EEG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/MLinear/seed2022/pred.npy
101	MLinear	tier2_eeg		EEG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/MLinear/seed2023/pred.npy
102	NBeats	tier2_eeg		EEG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/NBeats/seed2021/pred.npy
103	NBeats	tier2_eeg		EEG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/NBeats/seed2022/pred.npy
104	NBeats	tier2_eeg		EEG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/NBeats/seed2023/pred.npy
105	FreMLP	tier2_eeg		EEG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/FreMLP/seed2021/pred.npy
106	FreMLP	tier2_eeg		EEG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/FreMLP/seed2022/pred.npy
