idx	model	paradigm	condition	signal	seed	out
58	MLinear	tier2_ecg	SNR_5	ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_5/ECG/MLinear/seed2021/pred.npy
59	MLinear	tier2_ecg	SNR_6	ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_6/ECG/MLinear/seed2021/pred.npy
60	MLinear	tier2_ecg	SNR_1	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_1/ECG/MLinear/seed2022/pred.npy
61	MLinear	tier2_ecg	SNR_2	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_2/ECG/MLinear/seed2022/pred.npy
62	MLinear	tier2_ecg	SNR_3	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_3/ECG/MLinear/seed2022/pred.npy
63	MLinear	tier2_ecg	SNR_4	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_4/ECG/MLinear/seed2022/pred.npy
64	MLinear	tier2_ecg	SNR_5	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_5/ECG/MLinear/seed2022/pred.npy
65	MLinear	tier2_ecg	SNR_6	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_6/ECG/MLinear/seed2022/pred.npy
66	MLinear	tier2_ecg	SNR_1	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_1/ECG/MLinear/seed2023/pred.npy
67	MLinear	tier2_ecg	SNR_2	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_2/ECG/MLinear/seed2023/pred.npy
68	MLinear	tier2_ecg	SNR_3	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_3/ECG/MLinear/seed2023/pred.npy
69	MLinear	tier2_ecg	SNR_4	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_4/ECG/MLinear/seed2023/pred.npy
70	MLinear	tier2_ecg	SNR_5	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_5/ECG/MLinear/seed2023/pred.npy
71	MLinear	tier2_ecg	SNR_6	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_6/ECG/MLinear/seed2023/pred.npy
72	NBeats	tier2_ecg	SNR_1	ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_1/ECG/NBeats/seed2021/pred.npy
